step,time,u_avg_total,u_avg_cube
0,0.000000,20.395508,80.000000
200,0.586524,20.395508,78.048843
400,1.173048,20.395508,76.283234
600,1.759572,20.395508,74.679718
800,2.346096,20.395508,73.218811
1000,2.932620,20.395508,71.883621
1200,3.519144,20.395506,70.659508
1400,4.105669,20.395508,69.533699
1600,4.692193,20.395508,68.495102
1800,5.278717,20.395508,67.534012
2000,5.865241,20.395508,66.641998
2200,6.451765,20.395508,65.811638
2400,7.038289,20.395508,65.036438
2600,7.624813,20.395508,64.310722
2800,8.211337,20.395508,63.629486
3000,8.797861,20.395508,62.988327
3200,9.384385,20.395508,62.383369
3400,9.970909,20.395508,61.811184
3600,10.557433,20.395508,61.268742
3800,11.143957,20.395508,60.753334
4000,11.730481,20.395508,60.262596
4200,12.317005,20.395508,59.794399
4400,12.903529,20.395508,59.346848
4600,13.490053,20.395508,58.918262
4800,14.076577,20.395510,58.507130
5000,14.663101,20.395510,58.112103
5200,15.249625,20.395510,57.731964
5400,15.836149,20.395510,57.365623
5600,16.422674,20.395510,57.012108
5800,17.009197,20.395510,56.670528
6000,17.595722,20.395510,56.340080
6200,18.182245,20.395510,56.020039
6400,18.768770,20.395510,55.709740
6600,19.355293,20.395512,55.408588
6800,19.941818,20.395512,55.116032
7000,20.528341,20.395512,54.831585
7200,21.114866,20.395512,54.554779
7400,21.701389,20.395514,54.285194
7600,22.287914,20.395514,54.022457
7800,22.874437,20.395515,53.766205
8000,23.460962,20.395515,53.516125
8200,24.047485,20.395515,53.271904
8400,24.634010,20.395515,53.033264
8600,25.220533,20.395515,52.799942
8800,25.807058,20.395515,52.571712
9000,26.393581,20.395515,52.348335
9200,26.980106,20.395517,52.129612
9400,27.566629,20.395517,51.915348
9600,28.153154,20.395517,51.705364
9800,28.739677,20.395519,51.499481
10000,29.326202,20.395519,51.297550
10200,29.912725,20.395521,51.099407
10400,30.499250,20.395521,50.904922
10600,31.085775,20.395523,50.713963
10800,31.672298,20.395523,50.526394
11000,32.258823,20.395525,50.342113
11200,32.845348,20.395525,50.160995
11400,33.431870,20.395525,49.982937
11600,34.018394,20.395527,49.807842
11800,34.604919,20.395527,49.635628
12000,35.191444,20.395527,49.466194
12200,35.777966,20.395529,49.299438
12400,36.364491,20.395529,49.135296
12600,36.951015,20.395531,48.973679
12800,37.537540,20.395533,48.814522
13000,38.124062,20.395535,48.657753
13200,38.710587,20.395536,48.503307
13400,39.297112,20.395536,48.351101
13600,39.883636,20.395538,48.201096
13800,40.470158,20.395540,48.053219
14000,41.056683,20.395542,47.907410
14200,41.643208,20.395544,47.763618
14400,42.229733,20.395544,47.621803
14600,42.816254,20.395546,47.481903
14800,43.402779,20.395548,47.343872
15000,43.989304,20.395550,47.207657
15200,44.575829,20.395550,47.073223
15400,45.162354,20.395552,46.940521
15600,45.748875,20.395554,46.809517
15800,46.335400,20.395555,46.680164
16000,46.921925,20.395557,46.552425
16200,47.508450,20.395557,46.426262
16400,48.094971,20.395559,46.301636
16600,48.681496,20.395561,46.178520
16800,49.268021,20.395563,46.056885
17000,49.854546,20.395565,45.936680
17200,50.441067,20.395567,45.817890
17400,51.027592,20.395569,45.700481
17600,51.614117,20.395571,45.584415
17800,52.200642,20.395573,45.469677
18000,52.787163,20.395575,45.356243
18200,53.373688,20.395576,45.244061
18400,53.960213,20.395578,45.133137
18600,54.546738,20.395580,45.023418
18800,55.133259,20.395582,44.914890
19000,55.719784,20.395584,44.807545
19200,56.306309,20.395586,44.701336
19400,56.892834,20.395588,44.596264
19600,57.479355,20.395592,44.492279
19800,58.065880,20.395594,44.389389
20000,58.652405,20.395597,44.287571
20200,59.238930,20.395599,44.186771
20400,59.825451,20.395601,44.087017
20600,60.411976,20.395603,43.988274
20800,60.998501,20.395605,43.890488
21000,61.585026,20.395607,43.793694
21200,62.171551,20.395609,43.697865
21400,62.758072,20.395613,43.602947
21600,63.344597,20.395615,43.508957
21800,63.931122,20.395617,43.415863
22000,64.517647,20.395618,43.323658
22200,65.104172,20.395622,43.232342
22400,65.690697,20.395624,43.141872
22600,66.277214,20.395628,43.052254
22800,66.863739,20.395630,42.963448
23000,67.450264,20.395632,42.875481
23200,68.036789,20.395636,42.788292
23400,68.623314,20.395638,42.701916
23600,69.209839,20.395641,42.616291
23800,69.796364,20.395643,42.531460
24000,70.382889,20.395647,42.447346
24200,70.969406,20.395649,42.364006
24400,71.555931,20.395653,42.281380
24600,72.142456,20.395657,42.199486
24800,72.728981,20.395658,42.118275
25000,73.315506,20.395662,42.037781
25200,73.902031,20.395666,41.957951
25400,74.488556,20.395668,41.878815
25600,75.075081,20.395672,41.800339
25800,75.661606,20.395676,41.722527
26000,76.248123,20.395679,41.645386
26200,76.834648,20.395681,41.568863
26400,77.421173,20.395685,41.492962
26600,78.007698,20.395689,41.417648
26800,78.594223,20.395691,41.342972
27000,79.180748,20.395695,41.268921
27200,79.767273,20.395697,41.195438
27400,80.353798,20.395700,41.122540
27600,80.940315,20.395704,41.050201
27800,81.526840,20.395706,40.978462
28000,82.113365,20.395710,40.907310
28200,82.699890,20.395712,40.836651
28400,83.286415,20.395714,40.766560
28600,83.872940,20.395718,40.697044
28800,84.459465,20.395720,40.628006
29000,85.045990,20.395723,40.559494
29200,85.632507,20.395727,40.491547
29400,86.219032,20.395731,40.424068
29600,86.805557,20.395733,40.357090
29800,87.392082,20.395737,40.290661
30000,87.978607,20.395741,40.224655
30200,88.565132,20.395742,40.159153
30400,89.151657,20.395746,40.094185
30600,89.738182,20.395750,40.029613
30800,90.324707,20.395754,39.965561
31000,90.911224,20.395758,39.901985
31200,91.497749,20.395761,39.838799
31400,92.084274,20.395765,39.776123
31600,92.670799,20.395769,39.713837
31800,93.257324,20.395773,39.652050
32000,93.843849,20.395777,39.590633
32200,94.430374,20.395781,39.529671
32400,95.016899,20.395784,39.469177
32600,95.603416,20.395788,39.409023
32800,96.189941,20.395790,39.349346
33000,96.776466,20.395792,39.290020
33200,97.362991,20.395796,39.231194
33400,97.949516,20.395800,39.172653
33600,98.536041,20.395803,39.114586
33800,99.122566,20.395805,39.056850
34000,99.709091,20.395809,38.999584
34200,100.295609,20.395813,38.942596
34400,100.882133,20.395817,38.886066
34600,101.468658,20.395821,38.829849
34800,102.055183,20.395824,38.774090
35000,102.641708,20.395828,38.718582
35200,103.228233,20.395830,38.663528
35400,103.814758,20.395834,38.608753
35600,104.401283,20.395840,38.554428
35800,104.987801,20.395844,38.500340
