step,time,u_avg,u_exact_avg
0,0.000000,0.270139,0.270139
4,0.000883,0.269131,0.269131
8,0.001765,0.268126,0.268127
12,0.002648,0.267126,0.267127
16,0.003531,0.266129,0.266130
20,0.004414,0.265136,0.265137
24,0.005296,0.264147,0.264148
28,0.006179,0.263161,0.263163
32,0.007062,0.262179,0.262181
36,0.007945,0.261200,0.261203
40,0.008827,0.260226,0.260228
44,0.009710,0.259255,0.259258
48,0.010593,0.258287,0.258290
52,0.011476,0.257323,0.257327
56,0.012358,0.256363,0.256367
60,0.013241,0.255406,0.255410
64,0.014124,0.254453,0.254458
68,0.015007,0.253504,0.253508
72,0.015889,0.252558,0.252562
76,0.016772,0.251615,0.251620
80,0.017655,0.250676,0.250682
84,0.018538,0.249741,0.249746
88,0.019420,0.248809,0.248815
92,0.020303,0.247881,0.247886
96,0.021186,0.246956,0.246962
100,0.022069,0.246034,0.246040
104,0.022951,0.245116,0.245122
108,0.023834,0.244201,0.244208
112,0.024717,0.243290,0.243297
116,0.025600,0.242382,0.242389
120,0.026482,0.241478,0.241485
124,0.027365,0.240577,0.240584
128,0.028248,0.239679,0.239687
132,0.029131,0.238784,0.238792
136,0.030013,0.237893,0.237902
140,0.030896,0.237006,0.237014
144,0.031779,0.236121,0.236130
148,0.032662,0.235240,0.235249
152,0.033544,0.234362,0.234371
156,0.034427,0.233488,0.233497
160,0.035310,0.232616,0.232626
164,0.036193,0.231748,0.231758
168,0.037075,0.230884,0.230893
172,0.037958,0.230022,0.230032
176,0.038841,0.229164,0.229174
180,0.039724,0.228308,0.228319
184,0.040606,0.227457,0.227467
188,0.041489,0.226608,0.226619
192,0.042372,0.225762,0.225773
196,0.043255,0.224920,0.224931
200,0.044137,0.224080,0.224092
204,0.045020,0.223244,0.223256
208,0.045903,0.222411,0.222423
212,0.046786,0.221581,0.221593
216,0.047668,0.220754,0.220766
220,0.048551,0.219930,0.219943
224,0.049434,0.219110,0.219122
228,0.050317,0.218292,0.218305
232,0.051199,0.217478,0.217490
236,0.052082,0.216666,0.216679
240,0.052965,0.215857,0.215871
244,0.053848,0.215052,0.215065
248,0.054730,0.214249,0.214263
252,0.055613,0.213450,0.213464
256,0.056496,0.212653,0.212667
260,0.057379,0.211860,0.211874
264,0.058261,0.211069,0.211084
268,0.059144,0.210282,0.210296
272,0.060027,0.209497,0.209512
276,0.060910,0.208715,0.208730
280,0.061792,0.207936,0.207951
284,0.062675,0.207160,0.207175
288,0.063558,0.206387,0.206403
292,0.064440,0.205617,0.205633
296,0.065323,0.204850,0.204865
300,0.066206,0.204085,0.204101
304,0.067089,0.203324,0.203340
308,0.067971,0.202565,0.202581
312,0.068854,0.201809,0.201825
316,0.069737,0.201056,0.201072
320,0.070620,0.200306,0.200322
324,0.071502,0.199558,0.199575
328,0.072385,0.198814,0.198830
332,0.073268,0.198072,0.198089
336,0.074151,0.197333,0.197350
340,0.075033,0.196596,0.196613
344,0.075916,0.195863,0.195880
348,0.076799,0.195132,0.195149
352,0.077682,0.194404,0.194421
356,0.078564,0.193678,0.193696
360,0.079447,0.192956,0.192973
364,0.080330,0.192235,0.192253
368,0.081213,0.191518,0.191536
372,0.082095,0.190803,0.190822
376,0.082978,0.190091,0.190110
380,0.083861,0.189382,0.189400
384,0.084744,0.188675,0.188694
388,0.085626,0.187971,0.187990
392,0.086509,0.187270,0.187289
396,0.087392,0.186571,0.186590
400,0.088275,0.185875,0.185894
404,0.089157,0.185181,0.185200
408,0.090040,0.184490,0.184509
412,0.090923,0.183802,0.183821
416,0.091806,0.183116,0.183135
420,0.092688,0.182433,0.182452
424,0.093571,0.181752,0.181771
428,0.094454,0.181074,0.181093
432,0.095337,0.180398,0.180418
436,0.096219,0.179725,0.179745
440,0.097102,0.179054,0.179074
444,0.097985,0.178386,0.178406
448,0.098868,0.177720,0.177740
452,0.099750,0.177057,0.177077
456,0.100633,0.176396,0.176417
460,0.101516,0.175738,0.175759
464,0.102399,0.175082,0.175103
468,0.103281,0.174429,0.174450
472,0.104164,0.173778,0.173799
476,0.105047,0.173129,0.173150
480,0.105930,0.172483,0.172505
484,0.106812,0.171840,0.171861
488,0.107695,0.171199,0.171220
492,0.108578,0.170560,0.170581
496,0.109461,0.169923,0.169945
500,0.110343,0.169289,0.169311
504,0.111226,0.168657,0.168679
508,0.112109,0.168028,0.168050
512,0.112992,0.167401,0.167423
516,0.113874,0.166776,0.166798
520,0.114757,0.166154,0.166176
524,0.115640,0.165534,0.165556
528,0.116523,0.164916,0.164938
532,0.117405,0.164301,0.164323
536,0.118288,0.163688,0.163710
540,0.119171,0.163077,0.163099
544,0.120054,0.162468,0.162491
548,0.120936,0.161862,0.161885
552,0.121819,0.161258,0.161281
556,0.122702,0.160656,0.160679
560,0.123585,0.160057,0.160080
564,0.124467,0.159460,0.159482
568,0.125350,0.158864,0.158887
572,0.126233,0.158272,0.158295
576,0.127115,0.157681,0.157704
580,0.127998,0.157093,0.157116
584,0.128881,0.156506,0.156530
588,0.129764,0.155922,0.155946
592,0.130646,0.155341,0.155364
596,0.131529,0.154761,0.154784
600,0.132412,0.154183,0.154207
604,0.133295,0.153608,0.153632
608,0.134177,0.153035,0.153058
612,0.135060,0.152464,0.152487
616,0.135943,0.151895,0.151919
620,0.136826,0.151328,0.151352
624,0.137708,0.150763,0.150787
628,0.138591,0.150201,0.150225
632,0.139474,0.149640,0.149664
636,0.140357,0.149082,0.149106
640,0.141239,0.148525,0.148550
644,0.142122,0.147971,0.147995
648,0.143005,0.147419,0.147443
652,0.143888,0.146869,0.146893
656,0.144770,0.146321,0.146345
660,0.145653,0.145775,0.145799
664,0.146536,0.145231,0.145255
668,0.147419,0.144689,0.144714
672,0.148301,0.144149,0.144174
676,0.149184,0.143611,0.143636
680,0.150067,0.143075,0.143100
684,0.150950,0.142541,0.142566
688,0.151832,0.142009,0.142034
692,0.152715,0.141479,0.141504
696,0.153598,0.140951,0.140976
700,0.154481,0.140425,0.140451
704,0.155363,0.139901,0.139927
708,0.156246,0.139379,0.139405
712,0.157129,0.138859,0.138884
716,0.158012,0.138341,0.138366
720,0.158894,0.137825,0.137850
724,0.159777,0.137311,0.137336
728,0.160660,0.136798,0.136824
732,0.161543,0.136288,0.136313
736,0.162425,0.135779,0.135805
740,0.163308,0.135272,0.135298
744,0.164191,0.134768,0.134793
748,0.165074,0.134265,0.134290
752,0.165956,0.133764,0.133789
756,0.166839,0.133265,0.133290
760,0.167722,0.132767,0.132793
764,0.168605,0.132272,0.132298
768,0.169487,0.131778,0.131804
772,0.170370,0.131286,0.131312
776,0.171253,0.130797,0.130822
780,0.172136,0.130308,0.130334
784,0.173018,0.129822,0.129848
788,0.173901,0.129338,0.129364
792,0.174784,0.128855,0.128881
796,0.175667,0.128374,0.128400
800,0.176549,0.127895,0.127921
804,0.177432,0.127418,0.127444
808,0.178315,0.126943,0.126969
812,0.179198,0.126469,0.126495
816,0.180080,0.125997,0.126023
820,0.180963,0.125527,0.125553
824,0.181846,0.125058,0.125085
828,0.182729,0.124592,0.124618
832,0.183611,0.124127,0.124153
836,0.184494,0.123663,0.123690
840,0.185377,0.123202,0.123228
844,0.186259,0.122742,0.122769
848,0.187142,0.122284,0.122311
852,0.188025,0.121828,0.121854
856,0.188908,0.121373,0.121400
