step,time,u_avg,u_exact_avg
0,0.000000,0.264068,0.264068
16,0.000896,0.263067,0.263067
32,0.001793,0.262070,0.262071
48,0.002689,0.261077,0.261078
64,0.003586,0.260088,0.260089
80,0.004482,0.259103,0.259103
96,0.005379,0.258121,0.258122
112,0.006275,0.257143,0.257144
128,0.007172,0.256169,0.256169
144,0.008068,0.255198,0.255199
160,0.008965,0.254231,0.254232
176,0.009861,0.253268,0.253269
192,0.010758,0.252309,0.252309
208,0.011654,0.251353,0.251353
224,0.012551,0.250400,0.250401
240,0.013447,0.249452,0.249453
256,0.014344,0.248506,0.248507
272,0.015240,0.247565,0.247566
288,0.016137,0.246627,0.246628
304,0.017033,0.245692,0.245694
320,0.017930,0.244762,0.244763
336,0.018826,0.243834,0.243836
352,0.019723,0.242910,0.242912
368,0.020619,0.241990,0.241991
384,0.021516,0.241073,0.241075
400,0.022412,0.240160,0.240161
416,0.023309,0.239250,0.239251
432,0.024205,0.238343,0.238345
448,0.025102,0.237440,0.237442
464,0.025998,0.236541,0.236542
480,0.026895,0.235644,0.235646
496,0.027791,0.234752,0.234754
512,0.028688,0.233862,0.233864
528,0.029584,0.232976,0.232978
544,0.030481,0.232093,0.232095
560,0.031377,0.231214,0.231216
576,0.032273,0.230338,0.230340
592,0.033170,0.229465,0.229468
608,0.034066,0.228596,0.228598
624,0.034963,0.227730,0.227732
640,0.035859,0.226867,0.226869
656,0.036756,0.226007,0.226010
672,0.037652,0.225151,0.225154
688,0.038549,0.224298,0.224301
704,0.039445,0.223448,0.223451
720,0.040342,0.222602,0.222604
736,0.041238,0.221758,0.221761
752,0.042135,0.220918,0.220921
768,0.043031,0.220081,0.220084
784,0.043928,0.219247,0.219250
800,0.044824,0.218416,0.218419
816,0.045721,0.217589,0.217592
832,0.046617,0.216764,0.216767
848,0.047514,0.215943,0.215946
864,0.048410,0.215125,0.215128
880,0.049307,0.214310,0.214313
896,0.050203,0.213498,0.213501
912,0.051100,0.212689,0.212692
928,0.051996,0.211883,0.211886
944,0.052893,0.211080,0.211084
960,0.053789,0.210281,0.210284
976,0.054686,0.209484,0.209487
992,0.055582,0.208690,0.208694
1008,0.056479,0.207899,0.207903
1024,0.057375,0.207112,0.207115
1040,0.058272,0.206327,0.206331
1056,0.059168,0.205545,0.205549
1072,0.060065,0.204767,0.204770
1088,0.060961,0.203991,0.203994
