step,time,u_avg,u_exact_avg
0,0.000000,0.306840,0.306840
1,0.003226,0.302660,0.302677
2,0.006453,0.298538,0.298570
3,0.009679,0.294471,0.294519
4,0.012905,0.290460,0.290524
5,0.016132,0.286503,0.286582
6,0.019358,0.282601,0.282694
7,0.022584,0.278751,0.278858
8,0.025810,0.274954,0.275075
9,0.029037,0.271209,0.271343
10,0.032263,0.267515,0.267661
11,0.035489,0.263871,0.264030
12,0.038716,0.260276,0.260448
13,0.041942,0.256731,0.256914
14,0.045168,0.253234,0.253428
15,0.048395,0.249785,0.249990
16,0.051621,0.246382,0.246598
17,0.054847,0.243026,0.243253
18,0.058073,0.239716,0.239952
19,0.061300,0.236450,0.236697
20,0.064526,0.233230,0.233485
21,0.067752,0.230053,0.230317
22,0.070979,0.226919,0.227193
23,0.074205,0.223828,0.224110
24,0.077431,0.220779,0.221070
25,0.080658,0.217772,0.218070
26,0.083884,0.214805,0.215112
27,0.087110,0.211879,0.212193
28,0.090336,0.208993,0.209314
29,0.093563,0.206146,0.206474
30,0.096789,0.203338,0.203673
31,0.100015,0.200569,0.200910
32,0.103242,0.197837,0.198184
33,0.106468,0.195142,0.195495
34,0.109694,0.192484,0.192843
35,0.112921,0.189862,0.190226
36,0.116147,0.187276,0.187645
37,0.119373,0.184725,0.185099
38,0.122599,0.182208,0.182588
39,0.125826,0.179726,0.180111
40,0.129052,0.177278,0.177667
41,0.132278,0.174863,0.175257
42,0.135505,0.172482,0.172879
43,0.138731,0.170132,0.170533
44,0.141957,0.167815,0.168220
45,0.145184,0.165529,0.165937
46,0.148410,0.163274,0.163686
47,0.151636,0.161050,0.161465
48,0.154862,0.158856,0.159275
49,0.158089,0.156692,0.157114
50,0.161315,0.154558,0.154982
51,0.164541,0.152453,0.152879
52,0.167768,0.150376,0.150805
53,0.170994,0.148328,0.148759
54,0.174220,0.146307,0.146741
55,0.177447,0.144314,0.144750
56,0.180673,0.142348,0.142786
57,0.183899,0.140409,0.140849
58,0.187125,0.138497,0.138938
59,0.190352,0.136610,0.137053
60,0.193578,0.134750,0.135193
61,0.196804,0.132914,0.133359
62,0.200031,0.131104,0.131550
63,0.203257,0.129318,0.129765
64,0.206483,0.127556,0.128004
65,0.209710,0.125819,0.126268
66,0.212936,0.124105,0.124554
67,0.216162,0.122414,0.122865
68,0.219388,0.120747,0.121198
69,0.222615,0.119102,0.119553
70,0.225841,0.117480,0.117931
71,0.229067,0.115880,0.116331
72,0.232294,0.114301,0.114753
73,0.235520,0.112744,0.113196
74,0.238746,0.111208,0.111660
75,0.241973,0.109694,0.110145
76,0.245199,0.108199,0.108651
77,0.248425,0.106725,0.107177
78,0.251651,0.105272,0.105723
79,0.254878,0.103838,0.104288
80,0.258104,0.102423,0.102873
81,0.261330,0.101028,0.101478
82,0.264557,0.099652,0.100101
83,0.267783,0.098295,0.098743
84,0.271009,0.096956,0.097403
85,0.274236,0.095635,0.096081
86,0.277462,0.094332,0.094778
87,0.280688,0.093047,0.093492
88,0.283914,0.091780,0.092224
89,0.287141,0.090530,0.090972
90,0.290367,0.089297,0.089738
91,0.293593,0.088080,0.088520
92,0.296820,0.086880,0.087319
93,0.300046,0.085697,0.086135
94,0.303272,0.084530,0.084966
95,0.306499,0.083378,0.083813
96,0.309725,0.082243,0.082676
97,0.312951,0.081122,0.081555
98,0.316177,0.080017,0.080448
99,0.319404,0.078927,0.079357
100,0.322630,0.077852,0.078280
101,0.325856,0.076792,0.077218
102,0.329083,0.075746,0.076170
103,0.332309,0.074714,0.075137
104,0.335535,0.073696,0.074117
105,0.338762,0.072692,0.073112
106,0.341988,0.071702,0.072120
107,0.345214,0.070725,0.071141
108,0.348440,0.069762,0.070176
109,0.351667,0.068812,0.069224
110,0.354893,0.067874,0.068285
111,0.358119,0.066950,0.067358
112,0.361346,0.066038,0.066444
113,0.364572,0.065138,0.065543
114,0.367798,0.064251,0.064654
115,0.371025,0.063376,0.063777
116,0.374251,0.062513,0.062911
117,0.377477,0.061661,0.062058
118,0.380704,0.060821,0.061216
119,0.383930,0.059993,0.060385
120,0.387156,0.059176,0.059566
121,0.390382,0.058370,0.058758
122,0.393609,0.057574,0.057961
123,0.396835,0.056790,0.057174
124,0.400061,0.056017,0.056398
125,0.403288,0.055254,0.055633
126,0.406514,0.054501,0.054878
127,0.409740,0.053759,0.054134
128,0.412967,0.053026,0.053399
129,0.416193,0.052304,0.052675
130,0.419419,0.051592,0.051960
131,0.422645,0.050889,0.051255
132,0.425872,0.050196,0.050560
133,0.429098,0.049512,0.049874
134,0.432324,0.048837,0.049197
135,0.435551,0.048172,0.048530
136,0.438777,0.047516,0.047871
137,0.442003,0.046869,0.047222
138,0.445230,0.046230,0.046581
139,0.448456,0.045601,0.045949
140,0.451682,0.044979,0.045326
141,0.454908,0.044367,0.044711
142,0.458135,0.043762,0.044104
143,0.461361,0.043166,0.043506
144,0.464587,0.042578,0.042916
145,0.467814,0.041998,0.042333
146,0.471040,0.041426,0.041759
