step,time,u_avg,u_exact_avg
0,0.000000,0.270139,0.270139
1,0.000221,0.269886,0.269886
2,0.000441,0.269634,0.269634
3,0.000662,0.269382,0.269383
4,0.000883,0.269131,0.269131
5,0.001103,0.268879,0.268880
6,0.001324,0.268628,0.268628
7,0.001545,0.268377,0.268378
8,0.001765,0.268126,0.268127
9,0.001986,0.267876,0.267876
10,0.002207,0.267626,0.267626
11,0.002428,0.267376,0.267376
12,0.002648,0.267126,0.267127
13,0.002869,0.266876,0.266877
14,0.003090,0.266627,0.266628
15,0.003310,0.266378,0.266379
16,0.003531,0.266129,0.266130
17,0.003752,0.265880,0.265882
18,0.003972,0.265632,0.265633
19,0.004193,0.265384,0.265385
20,0.004414,0.265136,0.265137
21,0.004634,0.264888,0.264890
22,0.004855,0.264641,0.264642
23,0.005076,0.264394,0.264395
24,0.005296,0.264147,0.264148
25,0.005517,0.263900,0.263901
26,0.005738,0.263653,0.263655
27,0.005959,0.263407,0.263409
28,0.006179,0.263161,0.263163
29,0.006400,0.262915,0.262917
30,0.006621,0.262669,0.262671
31,0.006841,0.262424,0.262426
32,0.007062,0.262179,0.262181
33,0.007283,0.261934,0.261936
34,0.007503,0.261689,0.261691
35,0.007724,0.261445,0.261447
36,0.007945,0.261200,0.261203
37,0.008165,0.260956,0.260959
38,0.008386,0.260713,0.260715
39,0.008607,0.260469,0.260472
40,0.008827,0.260226,0.260228
41,0.009048,0.259983,0.259985
42,0.009269,0.259740,0.259742
43,0.009490,0.259497,0.259500
44,0.009710,0.259255,0.259258
45,0.009931,0.259012,0.259015
46,0.010152,0.258770,0.258774
47,0.010372,0.258529,0.258532
48,0.010593,0.258287,0.258290
49,0.010814,0.258046,0.258049
50,0.011034,0.257805,0.257808
51,0.011255,0.257564,0.257567
52,0.011476,0.257323,0.257327
53,0.011696,0.257083,0.257086
54,0.011917,0.256843,0.256846
55,0.012138,0.256603,0.256606
56,0.012358,0.256363,0.256367
57,0.012579,0.256124,0.256127
58,0.012800,0.255884,0.255888
59,0.013021,0.255645,0.255649
60,0.013241,0.255406,0.255410
61,0.013462,0.255168,0.255172
62,0.013683,0.254929,0.254934
63,0.013903,0.254691,0.254695
64,0.014124,0.254453,0.254458
65,0.014345,0.254216,0.254220
66,0.014565,0.253978,0.253982
67,0.014786,0.253741,0.253745
68,0.015007,0.253504,0.253508
69,0.015227,0.253267,0.253271
70,0.015448,0.253030,0.253035
71,0.015669,0.252794,0.252799
72,0.015889,0.252558,0.252562
73,0.016110,0.252322,0.252327
74,0.016331,0.252086,0.252091
75,0.016551,0.251851,0.251856
76,0.016772,0.251615,0.251620
77,0.016993,0.251380,0.251385
78,0.017214,0.251146,0.251150
79,0.017434,0.250911,0.250916
80,0.017655,0.250676,0.250682
81,0.017876,0.250442,0.250447
82,0.018096,0.250208,0.250214
83,0.018317,0.249975,0.249980
84,0.018538,0.249741,0.249746
85,0.018758,0.249508,0.249513
86,0.018979,0.249275,0.249280
87,0.019200,0.249042,0.249047
88,0.019420,0.248809,0.248815
89,0.019641,0.248577,0.248582
90,0.019862,0.248344,0.248350
91,0.020082,0.248112,0.248118
92,0.020303,0.247881,0.247886
93,0.020524,0.247649,0.247655
94,0.020745,0.247418,0.247424
95,0.020965,0.247187,0.247193
96,0.021186,0.246956,0.246962
97,0.021407,0.246725,0.246731
98,0.021627,0.246494,0.246501
99,0.021848,0.246264,0.246270
100,0.022069,0.246034,0.246040
101,0.022289,0.245804,0.245811
102,0.022510,0.245575,0.245581
103,0.022731,0.245345,0.245352
104,0.022951,0.245116,0.245122
105,0.023172,0.244887,0.244894
106,0.023393,0.244658,0.244665
107,0.023613,0.244430,0.244436
108,0.023834,0.244201,0.244208
109,0.024055,0.243973,0.243980
110,0.024276,0.243745,0.243752
111,0.024496,0.243518,0.243524
112,0.024717,0.243290,0.243297
113,0.024938,0.243063,0.243070
114,0.025158,0.242836,0.242843
115,0.025379,0.242609,0.242616
116,0.025600,0.242382,0.242389
117,0.025820,0.242156,0.242163
118,0.026041,0.241929,0.241937
119,0.026262,0.241703,0.241711
120,0.026482,0.241478,0.241485
121,0.026703,0.241252,0.241260
122,0.026924,0.241027,0.241034
123,0.027144,0.240802,0.240809
